ObservationDate,Confirmed
10/7/2021,1560818
10/8/2021,1561463
10/9/2021,1561878
10/10/2021,1562359
10/11/2021,1562958
10/12/2021,1563501
10/13/2021,1564019
10/14/2021,1564485
10/15/2021,1564881
10/16/2021,1565174
10/17/2021,1565488
10/18/2021,1565827
10/19/2021,1566296
10/20/2021,1566664
10/21/2021,1566907
10/22/2021,1567139
10/23/2021,1567417
10/24/2021,1567692
10/25/2021,1567981
10/26/2021,1568257
10/27/2021,1568563
10/28/2021,1568857
10/29/2021,1569162
10/30/2021,1569328
10/31/2021,1569539
11/1/2021,1569753
11/2/2021,1569982
11/3/2021,1570238
11/4/2021,1570485
11/5/2021,1570485
11/6/2021,1570835
11/7/2021,1571013
11/8/2021,1571228
11/9/2021,1571434
11/10/2021,1571669
11/11/2021,1571906
11/12/2021,1572127
11/13/2021,1572278
11/14/2021,1572501
11/15/2021,1572735
11/16/2021,1572948
11/17/2021,1573214
11/18/2021,1573458
11/19/2021,1573711
11/20/2021,1573889
11/21/2021,1574088
11/22/2021,1574352
11/23/2021,1574636
11/24/2021,1574948
11/25/2021,1575185
11/26/2021,1575424
11/27/2021,1575579
11/28/2021,1575784
11/29/2021,1576011
11/30/2021,1576284
12/1/2021,1576566
12/2/2021,1576827
12/3/2021,1577070
12/4/2021,1577070
12/5/2021,1577443
12/6/2021,1577720
12/7/2021,1578011
12/8/2021,1578288
12/9/2021,1578550
12/10/2021,1578819
12/11/2021,1578996
12/12/2021,1579325
12/13/2021,1579710
12/14/2021,1580005
12/15/2021,1580302
12/16/2021,1580559
12/17/2021,1580750
12/18/2021,1580872
12/19/2021,1581083
12/20/2021,1581343
12/21/2021,1581634
12/22/2021,1581986
12/23/2021,1582368
12/24/2021,1582710
12/25/2021,1582985
12/26/2021,1583253
12/27/2021,1583626
12/28/2021,1584023
12/29/2021,1584518
12/30/2021,1585027
12/31/2021,1585539
1/1/2022,1585909
1/2/2022,1586466
1/3/2022,1587140
1/4/2022,1587915
1/5/2022,1588807
1/6/2022,1589947
1/7/2022,1591093
1/8/2022,1592209
1/9/2022,1593700
1/10/2022,1595931
1/11/2022,1598389
1/12/2022,1601305
1/13/2022,1604664
1/14/2022,1609042
1/15/2022,1612489
1/16/2022,1617711
1/17/2022,1624387
1/18/2022,1632794
1/19/2022,1642294
1/20/2022,1653182
1/21/2022,1664616
1/22/2022,1674230
1/23/2022,1685136
1/24/2022,1699964
1/25/2022,1715997
1/26/2022,1731524
1/27/2022,1747331
1/28/2022,1762771
1/29/2022,1773149
1/30/2022,1785332
1/31/2022,1798833
2/1/2022,1811987
2/2/2022,1824180
2/3/2022,1835776
2/4/2022,1844828
2/5/2022,1853187
2/6/2022,1861532
2/7/2022,1870901
2/8/2022,1879255
2/9/2022,1887271
2/10/2022,1894535
2/11/2022,1899803
2/12/2022,1904826
2/13/2022,1909664
2/14/2022,1914356
2/15/2022,1919102
2/16/2022,1923031
2/17/2022,1926570
2/18/2022,1929154
2/19/2022,1931304
2/20/2022,1933291
2/21/2022,1935242
2/22/2022,1936837
2/23/2022,1938135
2/24/2022,1939651
2/25/2022,1941057
2/26/2022,1941816
2/27/2022,1942680
2/28/2022,1943577
3/1/2022,1944376
3/2/2022,1945108
3/3/2022,1945765
3/4/2022,1946369
3/5/2022,1946737
3/6/2022,1947266
3/7/2022,1947702
3/8/2022,1948148
3/9/2022,1948471
3/10/2022,1948798
3/11/2022,1949055
3/12/2022,1949253
3/13/2022,1949486
3/14/2022,1949725
3/15/2022,1949942
3/16/2022,1950124
3/17/2022,1950357
3/18/2022,1950465
3/19/2022,1950527
3/20/2022,1950609
3/21/2022,1950725
3/22/2022,1950846
3/23/2022,1950980
3/24/2022,1951072
3/25/2022,1951174
3/26/2022,1951239
3/27/2022,1951282
3/28/2022,1951363
3/29/2022,1951432
3/30/2022,1951504
3/31/2022,1951577
4/1/2022,1951658
4/2/2022,1951714
4/3/2022,1951770
4/4/2022,1951831
4/5/2022,1951867
4/6/2022,1951903
4/7/2022,1951947
4/8/2022,1951995
4/9/2022,1952023
4/10/2022,1952065
4/11/2022,1952109
4/12/2022,1952131
4/13/2022,1952162
4/14/2022,1952197
4/15/2022,1952224
4/16/2022,1952275
4/17/2022,1952326
4/18/2022,1952362
4/19/2022,1952412
4/20/2022,1952440
4/21/2022,1952485
4/22/2022,1952506
4/23/2022,1952532
4/24/2022,1952556
4/25/2022,1952583
4/26/2022,1952602
4/27/2022,1952625
4/28/2022,1952644
4/29/2022,1952674
4/30/2022,1952691
5/1/2022,1952716
5/2/2022,1952726
5/3/2022,1952733
5/4/2022,1952743
5/5/2022,1952747
5/6/2022,1952766
5/7/2022,1952776
5/8/2022,1952799
5/9/2022,1952829
5/10/2022,1952855
5/11/2022,1952888
5/12/2022,1952939
5/13/2022,1952957
5/14/2022,1952979
5/15/2022,1953012
5/16/2022,1953049
5/17/2022,1953081
5/18/2022,1953103
5/19/2022,1953138
5/20/2022,1953188
5/21/2022,1953204
5/22/2022,1953233
5/23/2022,1953264
5/24/2022,1953298
5/25/2022,1953328
5/26/2022,1953356
5/27/2022,1953379
5/28/2022,1953407
5/29/2022,1953447
5/30/2022,1953481
5/31/2022,1953507
6/1/2022,1953541
6/2/2022,1953563
6/3/2022,1953592
6/4/2022,1953623
6/5/2022,1953657
6/6/2022,1953700
6/7/2022,1953754
6/8/2022,1953812
6/9/2022,1953871
6/10/2022,1953935
6/11/2022,1954006
6/12/2022,1954115
6/13/2022,1954243
6/14/2022,1954405
6/15/2022,1954637
6/16/2022,1954994
6/17/2022,1955427
6/18/2022,1955731
6/19/2022,1956327
